0,15599768,992646
1,6156152,1622901
2,10276161,1646076
3,14374534,1679034
4,17698681,1924051
5,15225589,2142817
6,2512602,2204467
7,10681487,2379544
8,15632120,2438653
9,11851588,2439150
10,12882179,2652641
11,10855798,2964760
12,7422253,2979675
13,2355126,3046503
14,15732471,3814651
15,2920554,3820148
16,3762787,3926438
17,3727026,3926669
18,5955853,3926904
19,16434842,3928522
20,5890323,3928574
21,12704360,3928652
22,13948718,3945136
23,3793681,3945225
24,11637003,3945232
25,9841469,3945454
26,17587730,4110483
27,8307514,4379603
28,13751194,4400767
29,13806524,4433960
30,2659386,4523584
31,13793212,4523803
32,2921933,4570270
33,18133444,4901087
34,8227502,4991243
35,13358515,5577650
36,17658978,5680013
37,7982324,5684940
38,5855343,5689639
39,19010160,5690425
40,3166745,5704424
41,10945111,5763407
42,20443505,5767836
43,4127905,5778133
44,8943485,5959820
45,4101621,5963873
46,2963280,6494382
47,2670619,6604203
48,17654634,6623049
49,7590264,7005145
50,4017464,7057730
51,18163015,7283193
52,17352470,7338309
53,15606239,7388340
54,8231264,7394271
55,17654519,7439913
56,3727004,7476468
57,8271034,7694589
58,8245146,7851153
59,8717219,7952981
60,6190181,8025665
61,17655000,8142831
62,858479,8154054
63,7429933,8167696
64,5503982,8347907
65,7449767,8529400
66,10682411,8765298
67,19092010,8801715
68,18187865,8809171
69,9767705,8864778
70,9294475,8974428
71,17813006,9051960
72,5934511,9064208
73,8305958,9207332
74,9842000,9372642
75,5935744,9384504
76,20536322,9436520
77,16295025,9447255
78,14762026,9481869
79,13950464,9503414
80,17541953,9508724
81,16934932,9594273
82,4127707,9747418
83,6219445,9842383
84,2660767,10017804
85,17379360,10018161
86,5858788,10237401
87,5893912,10238739
88,17380319,10248031
89,8370111,10323628
90,13535380,10329208
91,16713231,10378182
92,2260755,10418394
93,16355225,10473853
94,13535387,10563755
95,2667980,10568310
96,13411445,10596949
97,12122924,10612094
98,2911847,10714526
99,2648254,10756813
100,16450562,10766722
101,8572353,10872426
102,11905911,10915553
103,4228105,10918898
104,17671375,10958210
105,17525174,11003707
106,17304269,11009492
107,17589475,11013583
108,12990900,11079069
109,6254216,11192283
110,5993001,11217208
111,4444354,11691603
112,8953579,11717035
113,5856647,11841664
114,15633329,11934261
115,9750356,12000033
116,16651566,12252572
117,17328632,12279941
118,10768709,12299704
119,16666673,12367135
120,13242252,12420377
121,16070049,12476851
122,16841026,12509506
123,15706875,12598741
124,2283495,12634154
125,10986253,12654063
126,2914206,12745771
127,10495502,12840470
128,11465297,12866697
129,2878185,12923749
130,8847957,13206239
131,17756162,13395814
132,8710444,13714311
133,3707204,13966828
134,8539175,13988443
135,17942676,14319498
136,2932028,14333371
137,15618614,14342744
138,18220289,14450919
139,18292832,14461238
