,0
7941642,1.17351598173516
7941652,1.2111801242236024
8102935,1.3888888888888888
7916593,0.635483870967742
4247099,1.2422360248447204
8198238,1.1775362318840579
8198317,1.2359550561797752
7600311,1.6785714285714286
8256186,0.5316091954022989
5291791,1.3909287257019438
8198416,1.2172185430463576
7939890,1.2526881720430108
8231264,1.171919770773639
8198513,1.1366459627329193
7939979,1.2603648424543947
6557581,1.2037617554858935
6143930,0.7386138613861386
13849557,0.6163522012578616
8273369,1.237037037037037
7394271,1.225531914893617
8311264,1.262472885032538
8199671,1.3511777301927195
10329208,0.5
4400767,1.0
13535387,0.5
17356454,1.0149253731343284
2557644,0.9933774834437086
13793212,1.0
16586265,0.6962962962962963
5327961,0.6441717791411042
17814107,0.5700934579439252
17355872,0.5297029702970297
11184236,0.5027932960893855
11821320,0.5774647887323944
10167116,0.6160714285714286
13968203,0.626984126984127
13313410,0.9862068965517241
