,0
0,2439067.0
1,3814853.0
2,2439134.0
3,4099900.0
4,3048606.0
5,3009700.0
6,3814701.0
7,9761454.0
8,3820148.0
9,2920554.0
10,3928574.0
11,5890323.0
12,3928652.0
13,12704360.0
14,3946364.0
15,6133702.0
16,3946432.0
17,2935173.0
18,4379508.0
19,3794023.0
20,4379603.0
21,8307514.0
22,4391317.0
23,11826171.0
24,4393026.0
25,5585799.0
26,4570270.0
27,2921933.0
28,4635057.0
29,7971031.0
30,4637677.0
31,17913185.0
32,4778745.0
33,4319395.0
34,4785242.0
35,2935198.0
36,4985759.0
37,9291474.0
38,5091874.0
39,9287906.0
40,5289042.0
41,8598886.0
42,5938794.0
43,8310955.0
44,6011278.0
45,9288827.0
46,7187384.0
47,3664102.0
48,7335439.0
49,5500958.0
50,7582412.0
51,2776773.0
52,7582489.0
53,7977834.0
54,7982896.0
55,8177199.0
56,8262372.0
57,8068173.0
58,8765298.0
59,10682411.0
60,9141404.0
61,16691937.0
62,9207332.0
63,8305958.0
64,9237370.0
65,3726990.0
66,9351843.0
67,17990556.0
68,9421292.0
69,5507096.0
70,9436520.0
71,20536322.0
72,9445876.0
73,4102413.0
74,9488991.0
75,16131474.0
76,9792178.0
77,2920061.0
78,10282065.0
79,5946241.0
80,10382686.0
81,16100103.0
82,10797407.0
83,14760757.0
84,21300466.0
85,18644088.0
86,10922020.0
87,17654638.0
88,10958210.0
89,17671375.0
90,11013351.0
91,11909406.0
92,11018254.0
93,15480928.0
94,11084320.0
95,8461082.0
96,11144258.0
97,9800178.0
98,11193510.0
99,3930411.0
100,11291653.0
101,8412625.0
102,11600886.0
103,7980189.0
104,11687072.0
105,18425189.0
106,12138418.0
107,8310087.0
108,12299621.0
109,8034919.0
110,12299704.0
111,10768709.0
112,12300089.0
113,10827212.0
114,12745771.0
115,2914206.0
116,12948470.0
117,9275210.0
118,13197236.0
119,8075484.0
120,13395814.0
121,17756162.0
122,13852833.0
123,9457719.0
124,14000746.0
125,16699958.0
126,14034311.0
127,5976168.0
128,14133114.0
129,17166682.0
130,14313750.0
131,11889676.0
132,14461238.0
133,18292832.0
134,14797760.0
135,15679639.0
136,15568134.0
137,5973097.0
138,15608953.0
139,10627239.0
140,15825861.0
141,10944822.0
142,16089743.0
143,10340880.0
144,16098538.0
145,8670503.0
146,16141217.0
147,13722516.0
148,16428373.0
149,5369028.0
150,16433696.0
151,19132527.0
152,16444552.0
153,17340931.0
154,16474159.0
155,9291437.0
156,16636860.0
157,11623145.0
158,16637377.0
159,7962986.0
160,16799809.0
161,16369928.0
162,16838915.0
163,8544824.0
164,16868923.0
165,17013073.0
166,16883909.0
167,4234009.0
168,17016974.0
169,4022539.0
170,17420035.0
171,8705088.0
172,17473163.0
173,16571210.0
174,17641913.0
175,13429045.0
176,17729020.0
177,15684934.0
178,17729161.0
179,8313802.0
180,18062678.0
181,7065182.0
182,19051762.0
183,17913032.0
184,19611917.0
185,8138616.0
186,4926999.0
187,8598886.0
188,16096934.0
189,13049485.0
190,16059134.0
191,10725068.0
