,0
0,1679034.0
1,14374534.0
2,2142817.0
3,15225589.0
4,2369444.0
5,10119916.0
6,2379544.0
7,10681487.0
8,2438653.0
9,15632120.0
10,2439067.0
11,3814853.0
12,2439134.0
13,4099900.0
14,2439150.0
15,11851588.0
16,2568465.0
17,10167078.0
18,2628785.0
19,4311586.0
20,2797480.0
21,13713529.0
22,2964760.0
23,10855798.0
24,2966602.0
25,12704069.0
26,2979486.0
27,9585145.0
28,2988292.0
29,19046339.0
30,3043970.0
31,16181130.0
32,3061422.0
33,3272218.0
34,3157405.0
35,8752697.0
36,3158123.0
37,17415439.0
38,3450442.0
39,4700078.0
40,3539170.0
41,8159396.0
42,3543931.0
43,13795090.0
44,3814651.0
45,15732471.0
46,3814701.0
47,9761454.0
48,3819859.0
49,4127944.0
50,3820148.0
51,2920554.0
52,3928522.0
53,16434842.0
54,3928652.0
55,12704360.0
56,3946364.0
57,6133702.0
58,3946432.0
59,2935173.0
60,3946569.0
61,8813113.0
62,4260935.0
63,3756659.0
64,4274518.0
65,19156025.0
66,4279887.0
67,10293348.0
68,4379508.0
69,3794023.0
70,4379603.0
71,8307514.0
72,4391317.0
73,11826171.0
74,4398543.0
75,17380092.0
76,4412315.0
77,3347708.0
78,4422289.0
79,11605861.0
80,4523803.0
81,13793212.0
82,4570270.0
83,2921933.0
84,4607160.0
85,9287199.0
86,4635057.0
87,7971031.0
88,4636432.0
89,9808146.0
90,4665186.0
91,17671219.0
92,4680995.0
93,17806341.0
94,4721538.0
95,8069365.0
96,4778745.0
97,4319395.0
98,4780707.0
99,15683275.0
100,4785242.0
101,2935198.0
102,4985759.0
103,9291474.0
104,5033480.0
105,5700090.0
106,5053417.0
107,16188942.0
108,5091874.0
109,9287906.0
110,5118060.0
111,15605987.0
112,5261424.0
113,4679139.0
114,5453333.0
115,13803032.0
116,5474852.0
117,17591442.0
118,5484314.0
119,12746220.0
120,5675990.0
121,15688523.0
122,5679304.0
123,8689148.0
124,5688091.0
125,5038920.0
126,5689639.0
127,5855343.0
128,5744058.0
129,4128002.0
130,5745110.0
131,4127926.0
132,5760480.0
133,4127096.0
134,5874480.0
135,17058350.0
136,5938794.0
137,8310955.0
138,5959820.0
139,8943485.0
140,5963873.0
141,4101621.0
142,6011278.0
143,9288827.0
144,6494274.0
145,13986583.0
146,6494382.0
147,2963280.0
148,7092086.0
149,4876704.0
150,7335439.0
151,5500958.0
152,7338309.0
153,17352470.0
154,7388340.0
155,15606239.0
156,7394271.0
157,8231264.0
158,7540581.0
159,5516552.0
160,7582489.0
161,7977834.0
162,7851153.0
163,8245146.0
164,7982896.0
165,8177199.0
166,8037197.0
167,17822238.0
168,8069432.0
169,8542422.0
170,8078096.0
171,4514494.0
172,8167696.0
173,7429933.0
174,8203947.0
175,17952967.0
176,8216541.0
177,4541081.0
178,8238322.0
179,11210000.0
180,8253620.0
181,18639459.0
182,8262372.0
183,8068173.0
184,8274021.0
185,11051276.0
186,8276782.0
187,4119387.0
188,8347613.0
189,8349553.0
190,8423405.0
191,11137808.0
192,8509534.0
193,16515871.0
194,8582134.0
195,8469124.0
196,8639662.0
197,13046354.0
198,8687096.0
199,9643439.0
200,8689674.0
201,8319311.0
202,8704079.0
203,16735586.0
204,8755914.0
205,8741619.0
206,8765298.0
207,10682411.0
