,0
0,1679034.0
1,14374534.0
2,2379544.0
3,10681487.0
4,2438653.0
5,15632120.0
6,2797480.0
7,13713529.0
8,2964760.0
9,10855798.0
10,3043970.0
11,16181130.0
12,3061422.0
13,3272218.0
14,4274518.0
15,19156025.0
16,4379508.0
17,3794023.0
18,4412315.0
19,3347708.0
20,4607160.0
21,9287199.0
22,4680995.0
23,17806341.0
24,4721538.0
25,8069365.0
26,5453333.0
27,13803032.0
28,5675990.0
29,15688523.0
30,5689639.0
31,5855343.0
32,6494274.0
33,13986583.0
34,7335439.0
35,5500958.0
36,7338309.0
37,17352470.0
38,7540581.0
39,5516552.0
40,8037197.0
41,17822238.0
42,8069432.0
43,8542422.0
44,8238322.0
45,11210000.0
46,8423405.0
47,11137808.0
48,8582134.0
49,8469124.0
50,8639662.0
51,13046354.0
52,8838927.0
53,17107661.0
54,8993049.0
55,17867309.0
56,9207332.0
57,8305958.0
58,9236708.0
59,9212816.0
60,9239759.0
61,9034378.0
62,9252296.0
63,4201555.0
64,9447255.0
65,16295025.0
66,9577562.0
67,17132009.0
68,9800031.0
69,17980698.0
70,10018260.0
71,17379372.0
72,10382824.0
73,17297936.0
74,10760217.0
75,2669331.0
76,10766722.0
77,16450562.0
78,11004239.0
79,8069478.0
80,11027071.0
81,3010486.0
82,11073313.0
83,16347476.0
84,11157622.0
85,17036160.0
86,11703922.0
87,16181377.0
88,11782821.0
89,3913613.0
90,11876076.0
91,15674282.0
92,12233237.0
93,11528017.0
94,12387154.0
95,8723267.0
96,12476851.0
97,16070049.0
98,12498338.0
99,3913629.0
100,12509506.0
101,16841026.0
102,12587013.0
103,9015568.0
104,12598741.0
105,15706875.0
106,12670738.0
107,17847543.0
108,12840470.0
109,10495502.0
110,13206239.0
111,8847957.0
112,13422280.0
113,7589765.0
114,13743125.0
115,17854345.0
116,14260575.0
117,16987409.0
118,14319185.0
119,8565131.0
120,14333495.0
121,13858797.0
122,14492757.0
123,14656798.0
124,14514597.0
125,13986477.0
126,14655602.0
127,15672269.0
128,15468308.0
129,17330632.0
130,15517247.0
131,16335254.0
132,15547235.0
133,17036132.0
134,15632282.0
135,16884085.0
136,15686444.0
137,15638932.0
138,16045758.0
139,10684539.0
140,16089743.0
141,10340880.0
142,16095576.0
143,20370716.0
144,16100461.0
145,8711574.0
146,16444758.0
147,17762417.0
148,16545179.0
149,14501257.0
150,16630479.0
151,17012001.0
152,16636860.0
153,11623145.0
154,16848475.0
155,17980792.0
156,16928740.0
157,15560623.0
158,16933362.0
159,4234016.0
160,16950097.0
161,4847079.0
162,16950115.0
163,6609380.0
164,16985194.0
165,15068806.0
166,17075832.0
167,14039007.0
168,17102002.0
169,1065967.0
170,17150791.0
171,8712361.0
172,17354392.0
173,15636958.0
174,17434825.0
175,16485079.0
176,17513284.0
177,17361566.0
178,17557290.0
179,10946002.0
180,17728723.0
181,13084891.0
182,17728730.0
183,17629213.0
184,17729167.0
185,17324637.0
186,17769815.0
187,16690648.0
188,18305433.0
189,17587726.0
190,18648531.0
191,13665529.0
192,19017386.0
193,8127390.0
194,19884188.0
195,10945581.0
196,5746180.0
197,20443501.0
198,11029359.0
199,3232277.0
200,11003696.0
201,10877689.0
202,16501652.0
203,3167039.0
