,0
0,2597151.0
1,3158085.0
2,2979675.0
3,7422253.0
4,3048606.0
5,3009700.0
6,3060480.0
7,17380080.0
8,3061422.0
9,3272218.0
10,4393026.0
11,5585799.0
12,4664256.0
13,17326218.0
14,5657004.0
15,5134110.0
16,5671303.0
17,8696919.0
18,5680013.0
19,17658978.0
20,5684940.0
21,7982324.0
22,5691934.0
23,3862443.0
24,5744058.0
25,4128002.0
26,5745110.0
27,4127926.0
28,5750884.0
29,20443420.0
30,5755261.0
31,2846555.0
32,5763407.0
33,10945111.0
34,6011278.0
35,9288827.0
36,6604203.0
37,2670619.0
38,6633635.0
39,9241349.0
40,7025064.0
41,8161142.0
42,7227010.0
43,16115575.0
44,7557604.0
45,3276003.0
46,8078096.0
47,4514494.0
48,8167696.0
49,7429933.0
50,8253620.0
51,18639459.0
52,8687096.0
53,9643439.0
54,9348984.0
55,2772093.0
56,9481869.0
57,14762026.0
58,9508724.0
59,17541953.0
60,9739780.0
61,3182103.0
62,9800031.0
63,17980698.0
64,9822593.0
65,15023987.0
66,10609443.0
67,6114695.0
68,10893103.0
69,9720614.0
70,10915553.0
71,11905911.0
72,10922020.0
73,17654638.0
74,11084320.0
75,8461082.0
76,11717001.0
77,10683313.0
78,11719626.0
79,20278329.0
80,11934261.0
81,15633329.0
82,12299704.0
83,10768709.0
84,12325227.0
85,9507904.0
86,12356747.0
87,19857573.0
88,12367135.0
89,16666673.0
90,12923749.0
91,2878185.0
92,13749806.0
93,14034206.0
94,14270761.0
95,9103710.0
96,14338439.0
97,8805777.0
98,14434314.0
99,13369670.0
100,14797760.0
101,15679639.0
102,15063529.0
103,3166836.0
104,15517247.0
105,16335254.0
106,15541971.0
107,5734134.0
108,15568134.0
109,5973097.0
110,15586914.0
111,16176721.0
112,15588711.0
113,10945795.0
114,15594113.0
115,15590555.0
116,15639216.0
117,15639331.0
118,15676016.0
119,3058132.0
120,15686444.0
121,15638932.0
122,15689046.0
123,8979434.0
124,16544712.0
125,5730322.0
126,16594752.0
127,9530532.0
128,16686371.0
129,15431795.0
130,16931001.0
131,8709865.0
132,16950321.0
133,4127911.0
134,17165286.0
135,13046847.0
136,17165621.0
137,9422291.0
138,17170215.0
139,10660512.0
140,17223685.0
141,8880781.0
142,17360022.0
143,9565674.0
144,17360038.0
145,17378483.0
146,17360042.0
147,9856062.0
148,17360254.0
149,4393350.0
150,17430685.0
151,20106468.0
152,17728922.0
153,9234420.0
154,17729020.0
155,15684934.0
156,17729110.0
157,16399845.0
158,17729161.0
159,8313802.0
160,17729410.0
161,1141813.0
162,17732031.0
163,11081239.0
164,17732270.0
165,6125806.0
166,17804729.0
167,11050498.0
168,17927604.0
169,11605567.0
170,18035063.0
171,17937986.0
172,18058644.0
173,8939384.0
174,18527962.0
175,19508873.0
176,19395500.0
177,8559525.0
178,20981350.0
179,8715940.0
180,20343986.0
181,2881070.0
182,16059134.0
183,10725068.0
