skeleton,n_treenodes_left,n_inputs_left,n_outputs_left,n_treenodes_right,n_inputs_right,n_outputs_right
5671303,1292,29,20,0,0,0
5675990,2148,136,53,0,0,0
5678582,1447,48,45,0,0,0
5679304,2050,116,53,0,0,0
5680013,1630,134,1,0,0,0
5681132,2855,276,61,0,0,0
5684940,1224,53,0,0,0,0
5686901,564,0,0,0,0,0
5688091,1957,51,0,688,10,18
5689639,1445,63,11,0,0,0
5690425,2347,112,2,0,0,0
5691934,5082,301,50,898,36,36
5700090,927,7,44,4099,161,45
5704424,922,30,31,0,0,0
5708994,2231,42,32,564,5,16
3928522,1906,125,1,1085,2,0
3928574,1738,82,0,0,0,0
3928652,1998,82,0,0,0,0
3930411,0,0,0,2889,80,60
3931398,4397,316,23,650,28,28
3932136,0,0,0,3993,173,67
3944330,1129,43,1,385,0,1
3944626,5255,307,15,0,0,0
3945136,1603,79,0,1224,23,24
3945225,2151,102,13,331,2,19
3945232,2007,77,36,507,3,26
3945246,2463,374,1,1075,34,68
3945394,2162,99,13,505,8,19
3945454,1798,70,24,658,11,37
3945756,3713,160,56,695,17,38
3946166,2983,275,0,1126,19,41
3946364,2474,145,50,0,0,0
3946432,2222,100,39,0,0,0
3946569,1942,85,36,0,0,0
3979181,2200,144,0,0,0,0
4012491,0,0,0,472,0,0
4017464,0,0,0,3993,316,87
4022539,1243,62,79,6284,794,20
4067286,768,39,46,2924,264,49
4099900,0,0,0,4553,232,82
4101295,0,0,0,2625,140,42
4101621,0,0,0,3683,197,65
4102413,0,0,0,4382,223,73
4103336,0,0,0,2895,198,63
4108016,3216,143,41,0,0,0
4108720,0,0,0,2998,116,42
4110483,1226,51,1,0,0,0
4114133,0,0,0,3317,253,49
4116174,1130,70,32,2068,210,40
4119387,0,0,0,6371,622,101
4126720,0,0,0,384,0,1
4126726,0,0,0,365,0,0
4127096,0,0,0,1232,73,25
4127707,0,0,0,1981,114,23
4127905,0,0,0,1207,7,14
4127926,567,12,18,2419,118,32
4127938,0,0,0,1896,63,27
4127944,0,0,0,1828,28,27
4127963,0,0,0,641,0,0
4127978,0,0,0,393,0,0
4127987,0,0,0,200,0,0
4130960,0,0,0,4778,176,97
4390116,0,0,0,2095,77,32
4117305,3036,207,156,0,0,0
4134539,3449,206,167,0,0,0
4354933,2534,164,73,0,0,0
4379508,1978,87,1,922,19,60
4379603,2144,98,43,0,0,0
4381129,1728,123,3,1662,158,55
4381377,3130,246,0,2910,343,87
4391317,3328,154,65,0,0,0
4391978,0,0,0,4228,247,108
4393026,2586,65,29,807,8,31
4393049,0,0,0,1779,46,46
4393350,1077,19,19,2231,71,23
4398543,1821,67,25,329,9,18
4400767,1048,33,0,722,0,0
4635057,2088,111,65,0,0,0
4408362,1737,92,32,0,0,0
4408369,3310,164,40,731,34,18
4408397,3631,370,36,1030,49,56
4409374,1660,92,0,747,41,36
4411505,3959,201,230,0,0,0
4411542,0,0,0,3956,232,84
4411688,1108,57,41,3875,415,34
4412036,3821,240,241,0,0,0
4412315,3094,157,198,0,0,0
4414163,4288,418,94,1232,136,41
4414184,1549,195,61,4538,373,84
4422289,4290,246,61,757,14,57
4433197,1112,54,1,788,26,39
4433960,2430,153,36,0,0,0
4444354,0,0,0,2938,204,149
4453485,1461,82,0,721,0,0
8118947,3015,227,85,0,0,0
4493199,1849,138,66,0,0,0
4506509,1307,73,0,893,0,3
4514494,0,0,0,2911,153,41
4515496,0,0,0,4728,168,77
4518546,3162,152,201,0,0,0
4523584,1464,52,5,683,0,0
4523803,1038,49,1,708,0,0
4636432,2122,92,39,0,0,0
4541081,0,0,0,178,0,0
9445876,3635,232,64,0,0,0
4575178,0,0,0,2805,192,51
4591713,972,49,42,1769,96,0
4607160,2576,92,56,0,0,0
9097065,0,0,0,2250,113,63
9421292,2615,97,45,0,0,0
4637677,1337,48,27,0,0,0
4651929,0,0,0,2625,187,50
8706074,0,0,0,549,0,0
4662552,0,0,0,424,0,0
4662725,0,0,0,695,7,0
8021456,2338,167,34,0,0,0
4142619,0,0,0,2157,143,37
4144377,0,0,0,2551,204,65
4152020,0,0,0,2610,79,23
4152272,0,0,0,2749,161,51
4154421,3030,170,39,0,0,0
4173633,0,0,0,2479,103,29
4180774,0,0,0,2461,114,66
4185530,0,0,0,2274,103,41
4188290,1549,54,27,0,0,0
4188325,0,0,0,2301,104,67
4190567,365,22,16,1938,110,34
4195012,1293,194,35,2950,378,64
4199033,881,59,49,3937,305,32
4721087,0,0,0,3486,87,52
4201020,699,14,35,2733,99,39
4201555,683,68,27,1830,86,22
4204737,0,0,0,630,0,0
4211235,0,0,0,618,0,0
4214582,972,19,41,3657,227,50
4215611,473,6,4,1570,73,1
4224044,0,0,0,413,1,0
4227304,0,0,0,3344,198,190
4227544,0,0,0,4463,224,128
9051960,2740,232,16,1201,43,44
4227880,0,0,0,3189,129,46
4228105,0,0,0,2615,94,46
5874480,2357,152,39,0,0,0
4230061,0,0,0,4723,286,224
5019924,0,0,0,3329,217,166
4234009,853,24,47,2991,267,41
4234016,0,0,0,2737,112,76
4234559,642,34,29,2098,114,0
4235139,0,0,0,5274,223,63
4241192,0,0,0,3894,274,151
4241237,817,37,33,3787,574,46
4230749,997,173,29,2579,377,55
4260935,2704,125,62,0,0,0
4274518,2784,107,65,0,0,0
4598363,0,0,0,3989,581,62
4279887,2113,147,42,0,0,0
8293958,3618,218,63,0,0,0
4311241,1250,70,44,773,15,0
4319395,0,0,0,1923,75,23
4324479,2156,48,40,0,0,0
4324567,3207,147,56,0,0,0
4324898,0,0,0,3764,176,57
4327684,0,0,0,3981,245,61
4337398,0,0,0,2444,149,54
4346154,0,0,0,2152,86,52
3598000,791,3,3,1541,33,14
3618574,0,0,0,502,3,0
3620633,967,18,42,4825,382,0
3650006,1810,55,32,0,0,0
3679411,0,0,0,590,2,2
3690921,0,0,0,3305,155,44
3707204,0,0,0,3212,152,35
3726990,610,15,29,1076,37,0
3727004,0,0,0,1618,39,0
3727026,37,0,0,1688,40,2
3729496,854,39,1,783,34,0
3729504,498,2,16,1875,68,13
3732322,0,0,0,372,0,0
3755622,503,0,0,0,0,0
3756659,0,0,0,3121,119,49
3762317,686,38,0,1202,55,0
3762787,0,0,0,1418,58,0
3764792,390,1,0,3380,182,0
3765728,0,0,0,3149,156,55
3765735,0,0,0,5731,258,63
3793681,452,9,30,1274,53,14
3793760,739,26,32,4037,271,26
3794023,874,9,62,2210,96,0
3797420,435,7,3,0,0,0
3806573,0,0,0,4247,316,61
3806652,0,0,0,2728,199,7
3814175,0,0,0,3714,163,69
3814635,0,0,0,1834,31,69
3814651,2351,117,36,0,0,0
3814701,4173,159,59,0,0,0
3814853,854,23,26,4899,325,33
3815483,0,0,0,1847,57,2
3819157,2834,163,93,0,0,0
3819171,2404,117,52,0,0,0
3819859,1499,39,32,0,0,0
3820148,1472,71,9,1140,26,21
3844799,0,0,0,2411,67,60
3844961,492,1,12,1457,24,26
3848843,525,1,1,1633,20,11
3869488,0,0,0,3382,177,61
3882998,1531,22,6,420,2,3
3886356,6080,438,79,1734,134,67
3890028,1368,92,72,5803,515,94
3913613,1216,28,46,2721,131,15
3913620,0,0,0,5221,397,75
3913629,0,0,0,4420,275,67
3925724,1207,25,2,0,0,0
3926438,1542,53,1,0,0,0
3926669,1816,59,0,0,0,0
3926904,1130,17,3,92,0,1
4332495,0,0,0,495,0,0
4663662,175,0,0,0,0,0
4663668,314,0,0,0,0,0
4663875,256,0,0,0,0,0
4664256,3515,317,58,0,0,0
4665186,3067,210,61,0,0,0
4665627,0,0,0,1412,93,67
4679139,0,0,0,3587,180,78
4680995,4742,366,19,1039,42,27
4700078,0,0,0,5233,402,78
4721538,2814,175,38,990,27,42
4749004,1227,48,0,1094,76,64
7582412,2226,83,49,0,0,0
4778745,1973,75,26,0,0,0
4780707,2916,194,54,0,0,0
4812481,0,0,0,2729,152,62
4847079,0,0,0,2704,119,22
4849988,0,0,0,2454,169,53
4876704,0,0,0,2205,88,64
4876839,0,0,0,2456,201,44
9048462,1301,41,37,378,9,30
4884579,1614,215,100,4226,395,59
4901087,2202,119,0,1177,14,42
4917442,0,0,0,2811,146,49
4919895,0,0,0,1891,64,12
8177991,3199,156,82,0,0,0
4926999,1544,58,24,0,0,0
8311264,5184,947,178,0,0,0
4966994,2042,133,0,1463,62,56
4982172,0,0,0,2721,137,39
4983938,529,0,0,2517,67,65
4990529,0,0,0,356,0,0
4991243,1307,50,8,0,0,0
5010581,36,0,0,1982,57,11
5033480,2599,119,31,868,14,51
5038920,620,11,20,2213,74,0
5507096,0,0,0,3107,120,48
7802210,1908,258,30,2559,432,41
5051342,0,0,0,4041,214,183
5052370,0,0,0,2319,201,0
5053417,862,8,2,762,11,57
5091874,4873,289,101,0,0,0
5118060,4805,435,84,842,42,52
3862443,1000,33,44,5068,334,66
5745929,2464,92,37,714,6,23
5162462,0,0,0,2285,81,31
5163599,212,7,15,2193,76,10
5164129,0,0,0,3193,118,60
5166338,0,0,0,930,1,0
5167842,0,0,0,2428,51,34
3009700,489,6,4,3701,217,3
